Speaker,Region,Phoneme,Sonority,Point of articulation,Vowel,Horizontal position,Vertical Position,Stress,Relative intensity
CC,Colombia,g,voiced,velar,e,anterior,mid,stressed,21.5
CC,Colombia,g,voiced,velar,e,anterior,mid,unstressed,12.8
CC,Colombia,g,voiced,velar,e,anterior,mid,unstressed,13.1
CC,Colombia,g,voiced,velar,i,anterior,high,stressed,11.9
CC,Colombia,g,voiced,velar,i,anterior,high,stressed,20.4
CC,Colombia,g,voiced,velar,i,anterior,high,unstressed,5.7
CC,Colombia,g,voiced,velar,i,anterior,high,unstressed,15
CC,Colombia,g,voiced,velar,u,posterior,high,stressed,19.8
CC,Colombia,g,voiced,velar,u,posterior,high,stressed,20.1
CC,Colombia,g,voiced,velar,u,posterior,high,unstressed,8.1
CC,Colombia,g,voiced,velar,u,posterior,high,unstressed,12
CC,Colombia,p,voiceless,bilabial,a,central,low,stressed,23.3
CC,Colombia,p,voiceless,bilabial,a,central,low,stressed,27.3
CC,Colombia,p,voiceless,bilabial,a,central,low,unstressed,18
CC,Colombia,p,voiceless,bilabial,a,central,low,unstressed,27.6
CC,Colombia,p,voiceless,bilabial,e,anterior,mid,stressed,26.3
CC,Colombia,p,voiceless,bilabial,e,anterior,mid,stressed,27.3
CC,Colombia,p,voiceless,bilabial,e,anterior,mid,unstressed,20.2
CC,Colombia,p,voiceless,bilabial,e,anterior,mid,unstressed,25.7
CC,Colombia,p,voiceless,bilabial,i,anterior,high,stressed,23.8
CC,Colombia,p,voiceless,bilabial,i,anterior,high,stressed,28.9
CC,Colombia,p,voiceless,bilabial,i,anterior,high,unstressed,22.6
CC,Colombia,p,voiceless,bilabial,i,anterior,high,unstressed,24
CC,Colombia,p,voiceless,bilabial,o,posterior,mid,stressed,32
CC,Colombia,p,voiceless,bilabial,o,posterior,mid,stressed,32.7
CC,Colombia,p,voiceless,bilabial,o,posterior,mid,unstressed,28.1
CC,Colombia,p,voiceless,bilabial,o,posterior,mid,unstressed,25.4
CC,Colombia,p,voiceless,bilabial,u,posterior,high,stressed,28.6
CC,Colombia,p,voiceless,bilabial,u,posterior,high,stressed,29.3
CC,Colombia,p,voiceless,bilabial,u,posterior,high,unstressed,21.1
CC,Colombia,p,voiceless,bilabial,u,posterior,high,unstressed,21.8
CC,Colombia,k,voiceless,velar,e,anterior,mid,stressed,28
CC,Colombia,k,voiceless,velar,e,anterior,mid,stressed,28.9
CC,Colombia,k,voiceless,velar,e,anterior,mid,unstressed,25.1
CC,Colombia,k,voiceless,velar,e,anterior,mid,unstressed,23.4
CC,Colombia,k,voiceless,velar,i,anterior,high,stressed,23.8
CC,Colombia,k,voiceless,velar,i,anterior,high,stressed,23.4
CC,Colombia,k,voiceless,velar,i,anterior,high,unstressed,20.8
CC,Colombia,k,voiceless,velar,i,anterior,high,unstressed,22.3
CC,Colombia,t,voiceless,dental,a,central,low,stressed,27.6
CC,Colombia,t,voiceless,dental,a,central,low,stressed,28.5
CC,Colombia,t,voiceless,dental,a,central,low,unstressed,22
CC,Colombia,t,voiceless,dental,a,central,low,unstressed,25.4
CC,Colombia,t,voiceless,dental,e,anterior,mid,stressed,25.1
CC,Colombia,t,voiceless,dental,e,anterior,mid,stressed,28
CC,Colombia,t,voiceless,dental,e,anterior,mid,unstressed,23.5
CC,Colombia,t,voiceless,dental,e,anterior,mid,unstressed,21.8
CC,Colombia,t,voiceless,dental,i,anterior,high,stressed,27.3
CC,Colombia,t,voiceless,dental,i,anterior,high,stressed,26.9
CC,Colombia,t,voiceless,dental,i,anterior,high,unstressed,23.1
CC,Colombia,t,voiceless,dental,i,anterior,high,unstressed,25.8
CC,Colombia,t,voiceless,dental,o,posterior,mid,stressed,27.7
CC,Colombia,t,voiceless,dental,o,posterior,mid,stressed,30.6
CC,Colombia,t,voiceless,dental,o,posterior,mid,unstressed,19.6
CC,Colombia,t,voiceless,dental,o,posterior,mid,unstressed,17.3
CC,Colombia,t,voiceless,dental,u,posterior,high,stressed,25.5
CC,Colombia,t,voiceless,dental,u,posterior,high,stressed,22.1
CC,Colombia,t,voiceless,dental,u,posterior,high,unstressed,18.4
CC,Colombia,t,voiceless,dental,u,posterior,high,unstressed,21.7
PA,Peru,b,voiced,bilabial,a,central,low,stressed,17.9
PA,Peru,b,voiced,bilabial,a,central,low,stressed,24
PA,Peru,b,voiced,bilabial,a,central,low,unstressed,15.1
PA,Peru,b,voiced,bilabial,a,central,low,unstressed,15.2
PA,Peru,b,voiced,bilabial,e,anterior,mid,stressed,18.6
PA,Peru,b,voiced,bilabial,e,anterior,mid,stressed,17.5
PA,Peru,b,voiced,bilabial,e,anterior,mid,unstressed,11.4
PA,Peru,b,voiced,bilabial,e,anterior,mid,unstressed,9.7
PA,Peru,b,voiced,bilabial,i,anterior,high,stressed,9.5
PA,Peru,b,voiced,bilabial,i,anterior,high,stressed,10.2
PA,Peru,b,voiced,bilabial,i,anterior,high,unstressed,4.9
PA,Peru,b,voiced,bilabial,i,anterior,high,unstressed,8.8
PA,Peru,b,voiced,bilabial,o,posterior,mid,stressed,18.7
PA,Peru,b,voiced,bilabial,o,posterior,mid,stressed,20.6
PA,Peru,b,voiced,bilabial,o,posterior,mid,unstressed,13.9
PA,Peru,b,voiced,bilabial,o,posterior,mid,unstressed,17.3
PA,Peru,b,voiced,bilabial,u,posterior,high,stressed,14.9
PA,Peru,b,voiced,bilabial,u,posterior,high,stressed,16.1
PA,Peru,b,voiced,bilabial,u,posterior,high,unstressed,11.8
PA,Peru,b,voiced,bilabial,u,posterior,high,unstressed,3.9
PA,Peru,k,voiceless,velar,a,central,low,stressed,29.2
PA,Peru,k,voiceless,velar,a,central,low,stressed,33.4
PA,Peru,k,voiceless,velar,a,central,low,unstressed,28.7
PA,Peru,k,voiceless,velar,a,central,low,unstressed,21.2
PA,Peru,k,voiceless,velar,o,posterior,mid,stressed,32.4
PA,Peru,k,voiceless,velar,o,posterior,mid,stressed,29.3
PA,Peru,k,voiceless,velar,o,posterior,mid,unstressed,28.5
PA,Peru,k,voiceless,velar,o,posterior,mid,unstressed,27.3
PA,Peru,k,voiceless,velar,u,posterior,high,stressed,27.6
PA,Peru,k,voiceless,velar,u,posterior,high,stressed,28.3
PA,Peru,k,voiceless,velar,u,posterior,high,unstressed,22.4
PA,Peru,k,voiceless,velar,u,posterior,high,unstressed,27.9
PA,Peru,d,voiced,dental,a,central,low,stressed,16.8
PA,Peru,d,voiced,dental,a,central,low,stressed,15.8
PA,Peru,d,voiced,dental,a,central,low,unstressed,17.7
PA,Peru,d,voiced,dental,a,central,low,unstressed,17.4
PA,Peru,d,voiced,dental,e,anterior,mid,stressed,15
PA,Peru,d,voiced,dental,e,anterior,mid,stressed,20.1
PA,Peru,d,voiced,dental,e,anterior,mid,unstressed,11.9
PA,Peru,d,voiced,dental,e,anterior,mid,unstressed,0.8
PA,Peru,d,voiced,dental,i,anterior,high,stressed,13.3
PA,Peru,d,voiced,dental,i,anterior,high,stressed,17.1
PA,Peru,d,voiced,dental,i,anterior,high,unstressed,10
PA,Peru,d,voiced,dental,i,anterior,high,unstressed,11.7
